drinks,,,,
country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Australia,261,72,212,10.4
Austria,279,75,191,9.7
Brazil,245,145,16,7.2
Cambodia,57,65,1,2.2
Canada,240,122,100,8.2
Central African Republic,17,2,1,1.8
Chad,15,1,1,0.4
Chile,130,124,172,7.6
China,79,192,8,5
Colombia,159,76,3,4.2
Egypt,6,4,1,0.2
France,127,151,370,11.8
Germany,346,117,175,11.3
Iceland,233,61,78,6.6
India,9,114,0,2.2
Indonesia,5,1,0,0.1
Ireland,313,118,165,11.4
Israel,63,69,9,2.5
Italy,85,42,237,6.5
Japan,77,202,16,7
Malaysia,13,4,0,0.3
Mexico,238,68,5,5.5
Mongolia,77,189,8,4.9
New Zealand,203,79,175,9.3
Philippines,71,186,1,4.6
South Korea,140,16,9,9.8
Moldova,109,226,18,6.3
Romania,297,122,167,10.4
Russian Federation,247,326,73,11.5
Singapore,60,12,11,1.5
South Africa,225,76,81,8.2
Switzerland,185,100,280,10.2
Thailand,99,258,1,6.4
Turkey,51,22,7,1.4
United Kingdom,219,126,195,10.4
USA,249,158,84,8.7
Vietnam,111,2,1,2
