Fat_Supply_Quantity_Data,,,,,,,,,,,,
Fat_Supply_Quantity_Data,,,,,,,,,,,,
Country,Animal Products,Animal fats,Cereals ,Eggs,Seafood,Meat,Milk ,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,21.6,6.2,8,0.7,0.03,6.1,8.3,8.3,8.3,8.3,0.01,38928000
Albania,32,3.4,2.7,1.6,0.14,8.7,17.8,17.8,17.8,17.8,1.12,2838000
Algeria,14.4,0.9,4.2,1.2,0.2,3.9,8.1,8.1,8.1,8.1,0.07,44357000
Angola,15.3,1.3,6.6,0.2,1.42,11,1.2,1.2,1.2,1.2,0.00,32522000
Antigua and Barbuda,27.7,4.7,3.2,0.4,1.53,14.3,6.7,6.7,6.7,6.7,0.10,98000
Argentina,30.4,3.3,1.3,1.6,0.17,19.3,5.9,5.9,5.9,5.9,0.34,45377000
Armenia,29.7,6.3,2.5,1.6,0.22,10.8,10.5,10.5,10.5,10.5,0.18,2956000
Australia,24.1,4.6,1,0.7,0.45,11.6,6.5,6.5,6.5,6.5,0.01,25754000
Austria,27.8,12.9,1.2,1.2,0.43,8.1,5.1,5.1,5.1,5.1,0.15,8914000
Azerbaijan,32.1,7.8,5.4,2,0.21,12,9.9,9.9,9.9,9.9,0.03,10108000
Bahamas,30.2,4.6,3.6,1.3,1.5,17.5,5.1,5.1,5.1,5.1,0.32,393000
Bangladesh,9.8,1.2,7,1.3,2.16,1.8,3.2,3.2,3.2,3.2,0.03,169809000
Barbados,25.8,4,2.1,1.2,1.81,13.1,5.6,5.6,5.6,5.6,0.11,287000
Belarus,23.8,7.9,4.8,1.6,0.52,11.6,2.1,2.1,2.1,2.1,0.11,9375000
Belgium,26.7,12.6,1.4,1.2,0.62,5.7,6.5,6.5,6.5,6.5,6.10,11515000
Belize,23.8,9.8,3.1,0.7,0.42,10.3,2.5,2.5,2.5,2.5,0.06,419000
Benin,6.2,0.5,4.7,0.2,0.86,3.3,1.2,1.2,1.2,1.2,0.00,12209000
