Country,Animal fats,Meat,Eggs,Offals,Seafood,Milk ,Cereals,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Treenuts,Fruits ,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,6.22,6.12,0.69,0.31,0.03,8.28,8.04,1.05,0.20,0.28,0.05,0.00,0.75,0.42,28.37,17.08,0.36,4.5,0.14,0.01,0.12,0.01,38928000
Albania,3.42,8.74,1.64,0.29,0.14,17.76,2.67,3.16,0.11,0.00,0.05,0.00,0.92,0.64,18.00,9.24,0.65,22.3,2.97,0.05,1.79,1.12,2838000
Algeria,0.90,3.90,1.22,0.11,0.20,8.09,4.20,1.20,0.27,0.16,0.11,0.00,0.86,0.58,35.59,27.36,0.51,26.6,0.24,0.01,0.17,0.07,44357000
Angola,1.31,11.03,0.15,0.15,1.42,1.23,6.55,3.99,0.33,0.01,0.71,0.00,0.03,0.35,34.70,22.46,0.12,6.8,0.06,0.00,0.06,0.00,32522000
Antigua and Barbuda,4.67,14.32,0.39,0.13,1.53,6.66,3.22,1.36,0.07,0.36,0.04,0.00,0.20,1.22,22.30,14.44,0.25,19.1,0.29,0.01,0.19,0.10,98000
Argentina,3.31,19.27,1.57,0.19,0.17,5.85,1.33,0.06,0.02,0.02,0.11,0.00,0.14,0.21,19.64,17.31,0.19,28.5,4.36,0.11,3.91,0.34,45377000
Armenia,6.26,10.82,1.62,0.27,0.22,10.47,2.51,0.66,0.08,0.01,0.06,0.00,0.95,0.55,20.34,12.81,0.87,20.9,5.68,0.11,5.40,0.18,2956000
Australia,4.60,11.60,0.70,0.23,0.45,6.52,0.99,1.29,0.03,0.10,0.04,0.00,1.61,0.40,25.89,20.36,0.21,30.4,0.11,0.00,0.10,0.01,25754000
Austria,12.85,8.11,1.21,0.08,0.43,5.15,1.23,1.14,0.01,0.10,0.05,0.00,0.84,0.22,22.18,17.93,0.20,21.9,4.74,0.09,4.50,0.15,8914000
Azerbaijan,7.80,12.00,2.02,0.16,0.21,9.92,5.45,0.19,0.03,0.02,0.17,0.00,2.26,0.59,17.88,7.15,0.65,19.9,2.29,0.03,2.23,0.03,10108000
Bahamas,4.56,17.49,1.28,0.26,1.50,5.13,3.63,2.61,0.02,0.27,0.03,0.00,0.45,0.90,19.77,10.17,0.40,32.1,2.10,0.04,1.74,0.32,393000
Bangladesh,1.24,1.84,1.27,0.12,2.16,3.22,6.99,0.63,0.54,1.06,0.22,0.01,0.27,0.43,40.16,29.64,0.31,3.4,0.32,0.00,0.28,0.03,169809000
Barbados,3.97,13.14,1.21,0.10,1.81,5.62,2.12,3.26,0.23,0.32,0.11,0.00,0.78,0.46,24.16,15.69,0.25,24.8,0.58,0.01,0.47,0.11,287000
Belarus,7.87,11.56,1.58,0.23,0.52,2.06,4.81,0.44,0.00,0.02,0.20,0.00,1.05,0.23,26.19,18.21,0.34,26.6,2.74,0.02,2.61,0.11,9375000
Belgium,12.62,5.68,1.17,0.14,0.62,6.51,1.35,0.52,0.04,0.10,0.08,0.00,1.21,0.24,23.26,19.35,0.30,24.5,6.29,0.19,0.00,6.10,11515000
Belize,9.81,10.34,0.68,0.03,0.42,2.51,3.05,1.45,0.38,0.05,0.03,0.00,0.38,0.30,26.21,19.35,0.21,22.4,2.87,0.07,2.74,0.06,419000
Benin,0.48,3.28,0.21,0.09,0.86,1.25,4.70,7.30,0.65,2.60,1.08,0.00,1.92,0.20,43.83,24.88,0.36,8.2,0.03,0.00,0.03,0.00,12209000
Bolivia,4.17,21.15,1.52,0.14,0.18,3.27,2.73,1.36,0.21,0.15,0.48,0.00,0.74,0.54,19.58,12.35,0.19,18.7,1.95,0.09,1.44,0.42,11633000
Bosnia and Herzegovina,2.45,9.70,0.84,0.10,0.30,11.26,3.66,0.92,0.20,2.22,0.13,0.00,0.96,0.60,25.36,13.30,0.79,19.4,3.76,0.15,2.96,0.66,3281000
Botswana,4.13,3.48,0.27,0.21,0.36,8.52,7.18,1.17,0.12,0.55,0.19,0.00,0.15,0.17,33.03,22.38,0.19,16.1,1.01,0.01,0.84,0.16,2317000
Brazil,4.36,14.29,0.77,0.08,0.19,5.17,1.13,1.71,0.25,0.01,0.12,0.04,0.18,0.25,25.14,21.22,0.12,22.3,4.46,0.11,3.98,0.37,211812000
Bulgaria,8.03,9.35,1.22,0.24,0.34,7.97,1.85,1.65,0.05,0.62,0.04,0.00,0.34,0.27,22.85,17.58,0.25,27.4,3.23,0.13,2.79,0.30,6927000
Burkina Faso,0.60,3.57,0.41,0.13,0.37,2.16,10.55,11.94,0.54,0.10,0.04,0.00,0.27,0.04,42.77,19.18,0.07,4.5,0.05,0.00,0.05,0.01,20903000
Cabo Verde,4.29,9.92,0.85,0.08,0.53,6.29,5.13,1.48,0.45,0.97,0.09,0.00,0.18,0.19,28.04,18.67,0.31,10.6,2.59,0.02,2.46,0.10,556000
Cambodia,0.88,11.78,0.56,0.14,4.85,0.62,9.42,8.29,0.27,0.50,0.37,0.08,0.30,0.24,31.15,11.23,0.26,3.5,0.00,0.00,0.00,0.00,15497000
Cameroon,0.78,3.37,0.07,0.08,0.91,1.12,6.98,9.75,0.85,0.75,0.53,0.00,0.10,0.79,43.67,23.22,0.55,9.5,0.12,0.00,0.11,0.01,26598000
Canada,9.79,7.82,1.24,0.01,0.42,3.88,1.54,2.36,0.20,0.10,0.06,0.00,1.21,0.42,26.84,20.47,0.22,31.3,2.11,0.05,1.91,NA,38190000
Central African Republic,2.88,12.91,0.11,0.35,0.55,1.73,2.76,7.02,0.48,0.01,1.06,0.00,0.00,0.50,31.46,19.48,0.09,6.3,0.10,0.00,0.10,0.00,4830000
Chad,3.13,7.85,0.07,0.73,0.65,4.43,7.99,16.79,0.53,0.00,0.19,0.00,0.00,0.07,33.14,7.51,0.03,4.8,0.02,0.00,0.02,0.00,16877000
Chile,5.26,20.22,1.41,0.04,0.52,5.08,3.18,1.16,0.21,0.03,0.18,0.00,0.72,0.42,17.47,10.84,0.26,28.8,3.84,0.10,3.63,NA,19470000
China,3.45,21.61,2.31,0.48,0.98,2.22,2.60,1.84,0.02,0.07,0.06,0.00,1.80,0.23,18.95,10.66,0.58,6.6,0.01,0.00,0.01,0.00,1402385000
Colombia,1.78,11.40,1.78,0.12,0.37,5.95,1.73,0.99,0.17,0.12,0.28,0.00,0.53,1.23,28.60,23.08,0.18,22.1,4.35,0.11,4.09,0.15,49444000
Congo,0.34,9.65,0.14,0.34,1.85,0.68,2.70,5.04,0.15,0.01,1.08,0.00,0.02,0.84,37.00,26.01,0.58,8.4,0.57,0.01,0.38,0.18,5518000
Costa Rica,6.10,5.64,1.15,0.06,0.93,6.67,1.67,1.04,0.24,0.04,0.05,0.00,0.35,0.57,29.45,24.87,0.17,25.7,3.84,0.05,3.06,0.74,5111000
Cote d'Ivoire,0.27,2.58,0.43,0.25,1.23,0.56,4.97,4.89,0.10,0.61,1.24,0.00,2.34,0.53,44.67,27.74,0.33,9,0.11,0.00,0.11,0.01,26175000
Croatia,7.45,11.49,0.95,0.13,0.56,8.80,2.96,1.81,0.02,0.07,0.04,0.00,0.70,0.26,20.63,11.71,0.39,27.1,5.85,0.13,5.65,0.07,4020000
Cuba,3.22,16.02,1.48,0.15,0.26,4.77,4.48,2.69,0.62,0.04,0.37,0.00,0.01,0.62,24.10,14.54,0.56,26.7,0.28,0.00,0.23,0.05,11281000
Cyprus,1.87,10.55,1.00,0.10,0.73,6.69,3.46,2.12,0.06,0.05,0.04,0.00,0.86,0.36,29.05,19.74,0.26,22.6,2.62,0.02,0.17,2.43,1207000
