Country,Alcoholic Beverages,Animal Products,Meat,Seafood,Sugar & Sweeteners,Vegetal Products,Fruits ,Vegetable Oils,Vegetables,Obesity,Population
Afghanistan,0.0,4.8,1.2,0.0,2.2,45.2,1.5,2.3,0.8,4.5,38928000
Albania,0.9,16.1,3.9,0.1,3.4,33.9,3.9,2.8,2.8,22.3,2838000
Algeria,0.1,6.0,1.3,0.1,4.0,44.0,3.2,5.8,2.0,26.6,44357000
Angola,1.9,4.7,2.9,0.8,2.8,45.3,2.3,4.3,0.4,6.8,32522000
Antigua and Barbuda,2.3,15.4,7.0,1.7,5.8,34.6,3.7,4.7,1.3,19.1,98000
Argentina,1.4,15.0,9.4,0.2,7.1,35.0,1.5,5.5,0.9,28.5,45377000
Armenia,0.2,12.8,4.2,0.2,5.3,37.2,2.5,3.6,3.2,20.9,2956000
Australia,2.0,15.6,7.5,0.6,5.8,34.4,1.7,8.4,1.1,30.4,25754000
Austria,2.8,15.6,5.0,0.4,6.3,34.4,1.6,7.2,1.0,21.9,8914000
Azerbaijan,2.3,8.2,2.9,0.1,3.4,41.8,1.6,1.2,1.5,19.9,10108000
Bahamas,2.9,14.8,8.2,1.2,8.7,35.2,4.5,3.2,1.5,32.1,393000
Bangladesh,0.0,2.4,0.3,0.8,1.4,47.6,0.7,3.4,0.6,3.4,169809000
Barbados,1.1,12.1,5.7,1.4,8.1,37.9,1.9,4.5,1.1,24.8,287000
Belarus,3.3,12.3,5.7,0.5,4.6,37.7,1.4,6.1,1.8,26.6,9375000
Belgium,2.3,14.2,3.3,0.6,6.8,35.8,1.4,7.1,1.7,24.5,11515000
Belize,1.5,9.2,3.9,0.4,7.6,40.9,2.5,5.1,0.7,22.4,419000
Benin,1.8,2.5,1.2,0.5,1.4,47.5,0.8,4.6,0.9,8.2,12209000
Bolivia,0.8,10.0,6.8,0.1,5.7,40.0,2.4,2.7,0.6,18.7,11633000
Bosnia and Herzegovina,3.9,9.1,3.0,0.2,3.0,41.0,1.9,3.0,2.3,19.4,3281000
Botswana,1.6,8.1,1.9,0.2,5.9,41.9,1.0,5.5,0.6,16.1,2317000
